type,label,timestamp,value
movies,"Her",2025-01-01T22:40:00,3
movies,"The Tree of Life",2025-01-26T22:51:00,4
movies,"Interstellar",2025-02-09T22:52:00,2
movies,"Everything Everywhere",2025-02-15T22:32:00,2
movies,"Portrait of a Lady on Fire",2025-02-24T21:25:00,3
movies,"Portrait of a Lady on Fire",2025-02-26T19:14:00,4
movies,"Portrait of a Lady on Fire",2025-04-03T22:56:00,2
movies,"Everything Everywhere",2025-04-16T20:42:00,4
movies,"Moonlight",2025-04-20T20:45:00,4
movies,"La La Land",2025-04-24T21:57:00,3
movies,"Blade Runner 2049",2025-05-01T21:27:00,3
movies,"Her",2025-05-08T19:10:00,3
movies,"The Tree of Life",2025-05-08T22:35:00,1
movies,"Past Lives",2025-05-10T20:21:00,1
movies,"Blade Runner 2049",2025-05-13T20:28:00,3
movies,"Her",2025-05-26T22:51:00,3
movies,"Moonlight",2025-06-18T19:46:00,1
movies,"Her",2025-06-24T20:27:00,1
movies,"La La Land",2025-06-24T21:30:00,1
movies,"Blade Runner 2049",2025-07-06T20:04:00,4
movies,"Her",2025-07-12T22:27:00,3
movies,"Arrival",2025-07-14T20:47:00,3
movies,"Drive",2025-08-06T20:16:00,3
movies,"Portrait of a Lady on Fire",2025-08-08T20:49:00,4
movies,"Blade Runner 2049",2025-08-12T21:17:00,1
movies,"Blade Runner 2049",2025-08-18T20:52:00,1
movies,"Past Lives",2025-09-12T20:03:00,2
movies,"Portrait of a Lady on Fire",2025-09-13T21:55:00,1
movies,"The Tree of Life",2025-09-21T19:41:00,3
movies,"Blade Runner 2049",2025-10-18T21:43:00,1
movies,"Arrival",2025-10-19T20:54:00,1
movies,"Blade Runner 2049",2025-10-21T20:18:00,4
movies,"Drive",2025-10-27T21:50:00,1
movies,"Portrait of a Lady on Fire",2025-11-13T22:41:00,3
movies,"The Tree of Life",2025-11-18T21:57:00,3
movies,"Drive",2025-11-19T22:35:00,2
movies,"The Tree of Life",2025-12-01T22:54:00,2
movies,"Moonlight",2025-12-03T21:38:00,2
movies,"The Tree of Life",2025-12-09T19:39:00,1
movies,"Arrival",2025-12-27T19:21:00,3
