type,label,timestamp,value
music,"Four Tet",2025-01-08T01:52:00,1
music,"Fleet Foxes",2025-01-09T03:25:00,1
music,"Khruangbin",2025-01-22T00:53:00,4
music,"Beach House",2025-02-06T01:07:00,3
music,"Sufjan Stevens",2025-02-07T00:20:00,4
music,"Sufjan Stevens",2025-02-07T02:41:00,2
music,"Sufjan Stevens",2025-02-16T02:41:00,2
music,"FKA twigs",2025-02-23T01:26:00,2
music,"The National",2025-02-26T03:53:00,1
music,"Beach House",2025-02-27T00:55:00,3
music,"Phoebe Bridgers",2025-03-11T01:29:00,5
music,"Radiohead",2025-03-13T01:59:00,4
music,"Khruangbin",2025-03-18T03:09:00,5
music,"Radiohead",2025-04-03T02:13:00,1
music,"Beach House",2025-04-09T01:52:00,2
music,"Khruangbin",2025-04-16T01:58:00,3
music,"FKA twigs",2025-04-25T03:33:00,4
music,"Four Tet",2025-05-02T03:03:00,4
music,"Bon Iver",2025-05-14T01:13:00,1
music,"The National",2025-05-15T03:21:00,2
music,"The National",2025-05-25T02:13:00,2
music,"Phoebe Bridgers",2025-06-02T18:04:00,3
music,"Beach House",2025-06-03T23:15:00,1
music,"Four Tet",2025-06-06T03:18:00,2
music,"Sufjan Stevens",2025-06-06T23:50:00,3
music,"Four Tet",2025-06-08T19:46:00,2
music,"FKA twigs",2025-06-09T20:56:00,4
music,"Beach House",2025-06-10T02:31:00,4
music,"Phoebe Bridgers",2025-06-13T19:28:00,4
music,"Radiohead",2025-06-20T20:15:00,4
music,"FKA twigs",2025-06-23T22:19:00,4
music,"FKA twigs",2025-06-24T03:37:00,2
music,"Bon Iver",2025-07-01T01:35:00,1
music,"Radiohead",2025-07-04T21:59:00,2
music,"Beach House",2025-07-05T19:08:00,3
music,"FKA twigs",2025-07-08T01:00:00,2
music,"Sufjan Stevens",2025-07-09T02:40:00,2
music,"Khruangbin",2025-07-15T21:30:00,2
music,"Radiohead",2025-07-20T03:20:00,5
music,"Four Tet",2025-07-20T20:37:00,3
music,"Sufjan Stevens",2025-07-22T18:29:00,2
music,"The National",2025-07-22T19:50:00,1
music,"Four Tet",2025-07-23T21:26:00,2
music,"Fleet Foxes",2025-07-25T20:50:00,1
music,"Beach House",2025-07-26T00:09:00,5
music,"Khruangbin",2025-07-27T21:10:00,4
music,"SZA",2025-08-01T18:36:00,1
music,"Bon Iver",2025-08-04T22:44:00,3
music,"Four Tet",2025-08-07T02:01:00,3
music,"Tame Impala",2025-08-10T20:02:00,4
music,"Fleet Foxes",2025-08-19T02:36:00,2
music,"Tame Impala",2025-08-20T18:24:00,3
music,"Sufjan Stevens",2025-08-27T01:44:00,1
music,"FKA twigs",2025-09-06T00:30:00,5
music,"FKA twigs",2025-09-06T03:28:00,4
music,"Phoebe Bridgers",2025-09-11T01:10:00,3
music,"Four Tet",2025-09-13T01:08:00,1
music,"FKA twigs",2025-09-15T03:58:00,4
music,"Fleet Foxes",2025-09-25T00:50:00,5
music,"Fleet Foxes",2025-10-05T00:44:00,2
music,"Fleet Foxes",2025-10-07T01:35:00,1
music,"Khruangbin",2025-10-07T01:58:00,4
music,"Bon Iver",2025-10-09T02:41:00,2
music,"SZA",2025-10-11T02:52:00,3
music,"Khruangbin",2025-10-12T03:02:00,1
music,"Khruangbin",2025-10-15T00:04:00,5
music,"Phoebe Bridgers",2025-10-15T00:34:00,1
music,"Tame Impala",2025-10-19T00:13:00,5
music,"FKA twigs",2025-10-23T02:22:00,4
music,"Fleet Foxes",2025-10-27T02:39:00,5
music,"FKA twigs",2025-11-03T02:55:00,3
music,"Four Tet",2025-11-05T01:19:00,5
music,"Khruangbin",2025-11-05T02:30:00,1
music,"Radiohead",2025-11-15T01:54:00,5
music,"Four Tet",2025-11-16T01:55:00,4
music,"FKA twigs",2025-11-23T02:17:00,1
music,"Radiohead",2025-11-23T02:50:00,1
music,"The National",2025-11-27T01:52:00,4
music,"FKA twigs",2025-11-27T03:29:00,5
music,"SZA",2025-12-16T03:01:00,3
music,"Sufjan Stevens",2025-12-23T00:49:00,1
