type,label,timestamp,value
notes,"Books to read",2025-01-05T20:20:00,1
notes,"Star names to remember",2025-02-01T07:30:00,1
notes,"Books to read",2025-02-13T07:15:00,1
notes,"Dream journal",2025-02-16T02:05:00,1
notes,"Morning pages",2025-02-18T20:38:00,1
notes,"Books to read",2025-02-23T01:02:00,1
notes,"Recipe: miso soup",2025-03-19T12:32:00,1
notes,"Ideas for the year",2025-03-20T10:55:00,1
notes,"Song lyrics draft",2025-04-04T18:13:00,1
notes,"Dream journal",2025-04-12T15:49:00,1
notes,"Recipe: miso soup",2025-04-18T17:37:00,1
notes,"Morning pages",2025-05-23T16:05:00,1
notes,"Books to read",2025-06-07T13:34:00,1
notes,"Morning pages",2025-06-10T02:47:00,1
notes,"Recipe: miso soup",2025-06-12T13:02:00,1
notes,"Ideas for the year",2025-06-15T08:37:00,1
notes,"Dream journal",2025-06-24T03:27:00,1
notes,"Ideas for the year",2025-07-05T11:03:00,1
notes,"Books to read",2025-07-09T02:54:00,1
notes,"Letter to future me",2025-07-10T11:15:00,1
notes,"Trip packing list",2025-07-20T03:55:00,1
notes,"Star names to remember",2025-07-23T19:03:00,1
notes,"Star names to remember",2025-07-26T00:52:00,1
notes,"Ideas for the year",2025-08-17T12:29:00,1
notes,"Trip packing list",2025-08-19T02:55:00,1
notes,"Morning pages",2025-08-27T01:47:00,1
notes,"Song lyrics draft",2025-09-01T13:13:00,1
notes,"Dream journal",2025-09-06T07:08:00,1
notes,"Star names to remember",2025-09-13T13:23:00,1
notes,"Morning pages",2025-10-09T02:02:00,1
notes,"Letter to future me",2025-10-12T03:03:00,1
notes,"Things I'm grateful for",2025-10-15T00:08:00,1
notes,"Dream journal",2025-11-13T20:05:00,1
notes,"Ideas for the year",2025-11-16T13:17:00,1
notes,"Letter to future me",2025-11-27T08:18:00,1
notes,"Ideas for the year",2025-12-14T08:40:00,1
notes,"Morning pages",2025-12-16T03:42:00,1
notes,"Morning pages",2025-12-22T16:30:00,1
notes,"Things I'm grateful for",2025-12-24T18:17:00,1
notes,"Recipe: miso soup",2025-12-27T09:37:00,1
