type,label,timestamp,value
photos,"Banff trip",2025-04-08T15:39:00,22
photos,"Banff trip",2025-04-09T16:40:00,13
photos,"Banff trip",2025-04-10T15:57:00,16
photos,"Banff trip",2025-04-11T13:50:00,18
photos,"Banff trip",2025-04-12T10:41:00,8
photos,"Banff trip",2025-04-13T15:59:00,10
photos,"Banff trip",2025-04-14T11:22:00,18
photos,"Banff trip",2025-04-15T16:42:00,10
photos,"Banff trip",2025-04-16T16:04:00,15
photos,"Banff trip",2025-04-17T17:27:00,18
photos,"Banff trip",2025-04-18T11:41:00,21
photos,"Banff trip",2025-04-19T12:11:00,21
photos,"Summer evening",2025-06-02T18:25:00,8
photos,"Summer evening",2025-06-03T23:38:00,1
photos,"Summer evening",2025-06-05T22:18:00,1
photos,"Summer evening",2025-06-06T23:55:00,5
photos,"Summer evening",2025-06-08T19:37:00,6
photos,"Summer evening",2025-06-09T20:24:00,3
photos,"Summer evening",2025-06-10T21:20:00,4
photos,"Summer evening",2025-06-11T18:35:00,6
photos,"Summer evening",2025-06-11T19:30:00,6
photos,"Summer evening",2025-06-13T19:44:00,1
photos,"Summer evening",2025-06-16T23:16:00,5
photos,"Summer evening",2025-06-17T20:03:00,7
photos,"Summer evening",2025-06-20T20:21:00,3
photos,"Summer evening",2025-06-21T23:10:00,7
photos,"Summer evening",2025-06-23T22:20:00,4
photos,"Summer evening",2025-06-27T19:04:00,1
photos,"Summer evening",2025-07-01T23:47:00,4
photos,"Summer evening",2025-07-04T20:29:00,5
photos,"Summer evening",2025-07-04T21:48:00,1
photos,"Summer evening",2025-07-05T19:18:00,5
photos,"Summer evening",2025-07-06T18:26:00,2
photos,"Summer evening",2025-07-06T20:57:00,5
photos,"Summer evening",2025-07-09T20:54:00,5
photos,"Summer evening",2025-07-15T21:19:00,7
photos,"Summer evening",2025-07-17T18:34:00,1
photos,"Summer evening",2025-07-17T20:42:00,4
photos,"Summer evening",2025-07-20T20:35:00,4
photos,"Summer evening",2025-07-21T19:37:00,5
photos,"Summer evening",2025-07-22T18:51:00,5
photos,"Summer evening",2025-07-22T19:15:00,5
photos,"Summer evening",2025-07-23T21:46:00,2
photos,"Summer evening",2025-07-25T20:28:00,7
photos,"Summer evening",2025-07-27T21:47:00,1
photos,"Summer evening",2025-08-01T18:33:00,4
photos,"Summer evening",2025-08-04T19:45:00,6
photos,"Summer evening",2025-08-04T22:36:00,1
photos,"Summer evening",2025-08-06T23:52:00,8
photos,"Summer evening",2025-08-08T21:04:00,2
photos,"Summer evening",2025-08-10T20:48:00,3
photos,"Summer evening",2025-08-12T22:26:00,2
photos,"Summer evening",2025-08-17T21:57:00,3
photos,"Summer evening",2025-08-17T23:18:00,6
photos,"Summer evening",2025-08-18T19:23:00,5
photos,"Summer evening",2025-08-20T18:25:00,3
photos,"Summer evening",2025-08-20T22:28:00,2
photos,"Santorini trip",2025-09-08T13:25:00,11
photos,"Santorini trip",2025-09-09T15:30:00,19
photos,"Santorini trip",2025-09-10T15:24:00,16
photos,"Santorini trip",2025-09-11T10:46:00,16
photos,"Santorini trip",2025-09-12T11:47:00,18
photos,"Santorini trip",2025-09-13T14:18:00,24
photos,"Santorini trip",2025-09-14T13:57:00,15
photos,"Santorini trip",2025-09-15T17:15:00,8
photos,"Santorini trip",2025-09-16T13:04:00,6
photos,"Santorini trip",2025-09-17T15:12:00,17
photos,"Santorini trip",2025-09-18T15:40:00,11
photos,"Santorini trip",2025-09-19T16:51:00,13
