type,label,timestamp,value
places,"The Reading Room",2025-01-16T09:59:00,3
places,"Maple & Oak",2025-02-01T10:45:00,3
places,"The Reading Room",2025-02-04T08:41:00,1
places,"Blue Bottle",2025-02-27T15:57:00,1
places,"Maple & Oak",2025-03-04T20:40:00,1
places,"Maple & Oak",2025-03-07T08:37:00,3
places,"Blue Bottle",2025-03-20T08:11:00,3
places,"The Reading Room",2025-04-05T08:52:00,1
places,"Banff",2025-04-08T16:11:00,1
places,"Banff",2025-04-09T15:31:00,4
places,"Banff",2025-04-10T10:07:00,5
places,"Banff",2025-04-11T17:57:00,1
places,"Banff",2025-04-12T09:31:00,4
places,"Banff",2025-04-13T15:27:00,4
places,"Banff",2025-04-14T10:19:00,3
places,"Banff",2025-04-15T18:53:00,3
places,"Banff",2025-04-16T15:56:00,1
places,"Banff",2025-04-17T16:25:00,3
places,"Banff",2025-04-18T09:45:00,2
places,"Banff",2025-04-19T12:30:00,1
places,"The Reading Room",2025-04-27T08:24:00,2
places,"Corner Cafe",2025-05-05T09:36:00,3
places,"The Reading Room",2025-05-10T16:21:00,3
places,"Blue Bottle",2025-05-23T17:41:00,3
places,"Riverside Roastery",2025-05-27T12:47:00,2
places,"Corner Cafe",2025-06-03T19:41:00,2
places,"Maple & Oak",2025-06-17T20:35:00,3
places,"Maple & Oak",2025-06-19T10:13:00,2
places,"Maple & Oak",2025-08-03T10:07:00,2
places,"Maple & Oak",2025-08-05T07:43:00,2
places,"The Reading Room",2025-08-11T12:37:00,3
places,"The Reading Room",2025-08-20T16:59:00,3
places,"Blue Bottle",2025-09-01T07:07:00,2
places,"The Reading Room",2025-09-03T14:00:00,3
places,"Santorini",2025-09-08T15:20:00,5
places,"Santorini",2025-09-09T16:12:00,5
places,"Santorini",2025-09-10T14:41:00,1
places,"Santorini",2025-09-11T10:53:00,1
places,"Santorini",2025-09-12T18:25:00,2
places,"Santorini",2025-09-13T17:34:00,2
places,"Santorini",2025-09-14T16:14:00,1
places,"Santorini",2025-09-15T16:30:00,4
places,"Santorini",2025-09-16T13:15:00,3
places,"Santorini",2025-09-17T15:15:00,2
places,"Santorini",2025-09-18T10:46:00,3
places,"Santorini",2025-09-19T10:47:00,2
places,"Blue Bottle",2025-09-23T10:15:00,3
places,"Riverside Roastery",2025-10-03T13:44:00,2
places,"Maple & Oak",2025-10-05T16:50:00,2
places,"Blue Bottle",2025-10-07T08:11:00,1
places,"Maple & Oak",2025-10-10T12:10:00,1
places,"The Reading Room",2025-11-15T19:48:00,2
places,"The Reading Room",2025-11-19T20:38:00,3
places,"The Reading Room",2025-12-08T16:07:00,1
places,"Corner Cafe",2025-12-19T16:31:00,1
