type,label,timestamp,value
searches,"why do stars twinkle",2025-01-08T01:20:00,1
searches,"northern lights forecast",2025-02-06T01:12:00,1
searches,"meteor shower dates",2025-02-07T00:17:00,1
searches,"why do stars twinkle",2025-02-16T02:54:00,1
searches,"midnight ramen recipe",2025-02-23T01:13:00,1
searches,"northern lights forecast",2025-02-27T00:07:00,1
searches,"why do stars twinkle",2025-03-13T01:49:00,1
searches,"learn piano chords",2025-03-18T03:36:00,1
searches,"northern lights forecast",2025-04-09T01:04:00,1
searches,"slow travel tips",2025-04-17T16:37:00,1
searches,"how to press flowers",2025-05-02T03:15:00,1
searches,"northern lights forecast",2025-05-14T01:28:00,1
searches,"northern lights forecast",2025-05-15T03:30:00,1
searches,"northern lights forecast",2025-05-25T02:07:00,1
searches,"meteor shower dates",2025-06-24T03:46:00,1
searches,"why do stars twinkle",2025-07-09T02:02:00,1
searches,"best trails near Banff",2025-07-26T00:13:00,1
searches,"why do stars twinkle",2025-09-15T22:53:00,1
searches,"how to press flowers",2025-10-05T00:26:00,1
searches,"midnight ramen recipe",2025-10-12T03:15:00,1
searches,"how to press flowers",2025-10-15T00:27:00,1
searches,"best trails near Banff",2025-10-15T00:43:00,1
searches,"northern lights forecast",2025-10-19T00:26:00,1
searches,"how to press flowers",2025-10-23T02:59:00,1
searches,"how to press flowers",2025-11-03T02:45:00,1
searches,"slow travel tips",2025-11-16T01:20:00,1
searches,"slow travel tips",2025-11-27T01:25:00,1
